Date,Close/Last,Volume,Open,High,Low
9/14/2020,115.36,140150100,$114.72 ,$115.93 ,$112.80 
9/15/2020,115.54,184642000,$118.33 ,$118.83 ,$113.61 
9/16/2020,112.13,155026700,$115.23 ,$116 ,$112.04 
9/17/2020,110.34,178011000,$109.72 ,$112.20 ,$108.71 
9/18/2020,106.84,287104900,$110.40 ,$110.88 ,$106.09 
9/21/2020,110.08,195713800,$104.54 ,$110.19 ,$103.10 
9/22/2020,111.81,183055400,$112.68 ,$112.86 ,$109.16 
9/23/2020,107.12,150718700,$111.62 ,$112.11 ,$106.77 
9/24/2020,108.22,167743300,$105.17 ,$110.25 ,$105 
9/25/2020,112.28,149981400,$108.43 ,$112.44 ,$107.67 
9/28/2020,114.96,137672400,$115.01 ,$115.32 ,$112.78 
9/29/2020,114.09,100060500,$114.55 ,$115.31 ,$113.57 
9/30/2020,115.81,142675200,$113.79 ,$117.26 ,$113.62 
10/1/2020,116.79,116120400,$117.64 ,$117.72 ,$115.83 
10/2/2020,113.02,144712000,$112.89 ,$115.37 ,$112.22 
10/5/2020,116.50,106243800,$113.91 ,$116.65 ,$113.55 
10/6/2020,113.16,161498200,$115.70 ,$116.12 ,$112.25 
10/7/2020,115.08,96848990,$114.62 ,$115.55 ,$114.13 
10/8/2020,114.97,83477150,$116.25 ,$116.40 ,$114.59 
10/9/2020,116.97,100506900,$115.28 ,$117 ,$114.92 
10/12/2020,124.40,240226800,$120.06 ,$125.18 ,$119.28 
10/13/2020,121.10,262330500,$125.27 ,$125.39 ,$119.65 
10/14/2020,121.19,151062300,$121 ,$123.03 ,$119.62 
10/15/2020,120.71,112559200,$118.72 ,$121.20 ,$118.15 
10/16/2020,119.02,115393800,$121.28 ,$121.55 ,$118.81 
10/19/2020,115.98,120639300,$119.96 ,$120.42 ,$115.66 
10/20/2020,117.51,124423700,$116.20 ,$118.98 ,$115.63 
10/21/2020,116.87,89945980,$116.67 ,$118.71 ,$116.45 
10/22/2020,115.75,101988000,$117.45 ,$118.04 ,$114.59 
10/23/2020,115.04,82572650,$116.39 ,$116.55 ,$114.28 
10/26/2020,115.05,111850700,$114.01 ,$116.55 ,$112.88 
10/27/2020,116.60,92276770,$115.49 ,$117.28 ,$114.54 
10/28/2020,111.20,143937800,$115.05 ,$115.43 ,$111.10 
10/29/2020,115.32,146129200,$112.37 ,$116.93 ,$112.20 
10/30/2020,108.86,190573500,$111.06 ,$111.99 ,$107.72 
11/2/2020,108.77,122866900,$109.11 ,$110.68 ,$107.32 
11/3/2020,110.44,107624400,$109.66 ,$111.49 ,$108.73 
11/4/2020,114.95,138235500,$114.14 ,$115.59 ,$112.35 
11/5/2020,119.03,126387100,$117.95 ,$119.62 ,$116.87 
11/6/2020,118.69,114457900,$118.32 ,$119.20 ,$116.13 
11/9/2020,116.32,154515300,$120.50 ,$121.99 ,$116.05 
11/10/2020,115.97,138023400,$115.55 ,$117.59 ,$114.13 
11/11/2020,119.49,112295000,$117.19 ,$119.63 ,$116.44 
11/12/2020,119.21,103350700,$119.62 ,$120.53 ,$118.57 
11/13/2020,119.26,81688590,$119.44 ,$119.67 ,$117.87 
11/16/2020,120.30,91183020,$118.92 ,$120.99 ,$118.15 
11/17/2020,119.39,74270970,$119.55 ,$120.67 ,$118.96 
11/18/2020,118.03,76322110,$118.61 ,$119.82 ,$118 
11/19/2020,118.64,74112970,$117.59 ,$119.06 ,$116.81 
11/20/2020,117.34,73604290,$118.64 ,$118.77 ,$117.29 
11/23/2020,113.85,127959300,$117.18 ,$117.62 ,$113.75 
11/24/2020,115.17,113874200,$113.91 ,$115.85 ,$112.59 
11/25/2020,116.03,76499230,$115.55 ,$116.75 ,$115.17 
11/27/2020,116.59,46691330,$116.57 ,$117.49 ,$116.22 
11/30/2020,119.05,169410200,$116.97 ,$120.97 ,$116.81 
12/1/2020,122.72,128166800,$121.01 ,$123.47 ,$120.01 
12/2/2020,123.08,89004200,$122.02 ,$123.37 ,$120.89 
12/3/2020,122.94,78967630,$123.52 ,$123.78 ,$122.21 
12/4/2020,122.25,78260420,$122.60 ,$122.86 ,$121.52 
12/7/2020,123.75,86711990,$122.31 ,$124.57 ,$122.25 
12/8/2020,124.38,82225510,$124.37 ,$124.98 ,$123.09 
12/9/2020,121.78,115089200,$124.53 ,$125.95 ,$121 
12/10/2020,123.24,81312170,$120.50 ,$123.87 ,$120.15 
12/11/2020,122.41,86939790,$122.43 ,$122.76 ,$120.55 
12/14/2020,121.78,79075990,$122.60 ,$123.35 ,$121.54 
12/15/2020,127.88,157572300,$124.34 ,$127.90 ,$124.13 
12/16/2020,127.81,98208590,$127.41 ,$128.37 ,$126.56 
12/17/2020,128.70,94359810,$128.90 ,$129.58 ,$128.05 
12/18/2020,126.66,192541500,$128.96 ,$129.10 ,$126.12 
12/21/2020,128.23,121251600,$125.02 ,$128.31 ,$123.45 
12/22/2020,131.88,169351800,$131.61 ,$134.41 ,$129.65 
12/23/2020,130.96,88223690,$132.16 ,$132.43 ,$130.78 
12/24/2020,131.97,54930060,$131.32 ,$133.46 ,$131.10 
12/28/2020,136.69,124486200,$133.99 ,$137.34 ,$133.51 
12/29/2020,134.87,121047300,$138.05 ,$138.79 ,$134.34 
12/30/2020,133.72,96452120,$135.58 ,$135.99 ,$133.40 
12/31/2020,132.69,99116590,$134.08 ,$134.74 ,$131.72 
1/4/2021,129.41,143301900,$133.52 ,$133.61 ,$126.76 
1/5/2021,131.01,97664900,$128.89 ,$131.74 ,$128.43 
1/6/2021,126.60,155088000,$127.72 ,$131.05 ,$126.38 
1/7/2021,130.92,109578200,$128.36 ,$131.63 ,$127.86 
1/8/2021,132.05,105158200,$132.43 ,$132.63 ,$130.23 
1/11/2021,128.98,100620900,$129.19 ,$130.17 ,$128.50 
1/12/2021,128.80,91951150,$128.50 ,$129.69 ,$126.86 
1/13/2021,130.89,88636830,$128.76 ,$131.45 ,$128.49 
1/14/2021,128.91,90221760,$130.80 ,$131 ,$128.76 
1/15/2021,127.14,111598500,$128.78 ,$130.22 ,$127 
1/19/2021,127.83,90757330,$127.78 ,$128.71 ,$126.94 
1/20/2021,132.03,104319500,$128.66 ,$132.49 ,$128.55 
1/21/2021,136.87,120529500,$133.80 ,$139.67 ,$133.59 
1/22/2021,139.07,114459400,$136.28 ,$139.85 ,$135.02 
1/25/2021,142.92,157611700,$143.07 ,$145.09 ,$136.54 
1/26/2021,143.16,98390560,$143.60 ,$144.30 ,$141.37 
